status,variant_id,sku,message,error
updated,48588078547209,AUTOSKU-0000003Z,SKU updated,
updated,48588078711049,AUTOSKU-00000040,SKU updated,
updated,48588078743817,AUTOSKU-00000041,SKU updated,
updated,48588078776585,AUTOSKU-00000042,SKU updated,
updated,48588078809353,AUTOSKU-00000043,SKU updated,
updated,48588078973193,AUTOSKU-00000044,SKU updated,
updated,48588079005961,AUTOSKU-00000045,SKU updated,
updated,48588079038729,AUTOSKU-00000046,SKU updated,
updated,48588079071497,AUTOSKU-00000047,SKU updated,
updated,48588079268105,AUTOSKU-00000048,SKU updated,
updated,48588079300873,AUTOSKU-00000049,SKU updated,
updated,48588079333641,AUTOSKU-0000004A,SKU updated,
updated,48588079366409,AUTOSKU-0000004B,SKU updated,
updated,48588079530249,AUTOSKU-0000004C,SKU updated,
updated,48588079563017,AUTOSKU-0000004D,SKU updated,
updated,48588079595785,AUTOSKU-0000004E,SKU updated,
updated,48588079628553,AUTOSKU-0000004F,SKU updated,
updated,48588079792393,AUTOSKU-0000004G,SKU updated,
updated,48588079825161,AUTOSKU-0000004H,SKU updated,
updated,48588079857929,AUTOSKU-0000004I,SKU updated,
updated,48588079890697,AUTOSKU-0000004J,SKU updated,
updated,48588080054537,AUTOSKU-0000004K,SKU updated,
updated,48588080087305,AUTOSKU-0000004L,SKU updated,
updated,48588080120073,AUTOSKU-0000004M,SKU updated,
updated,48588080185609,AUTOSKU-0000004N,SKU updated,
updated,48588080349449,AUTOSKU-0000004O,SKU updated,
updated,48588080382217,AUTOSKU-0000004P,SKU updated,
updated,48588080414985,AUTOSKU-0000004Q,SKU updated,
updated,48588080447753,AUTOSKU-0000004R,SKU updated,
updated,48559281733897,AUTOSKU-0000004S,SKU updated,
updated,48559281799433,AUTOSKU-0000004T,SKU updated,
updated,48559281897737,AUTOSKU-0000004U,SKU updated,
updated,48559281963273,AUTOSKU-0000004V,SKU updated,
updated,48559281996041,AUTOSKU-0000004W,SKU updated,
updated,48559282061577,AUTOSKU-0000004X,SKU updated,
updated,48559282159881,AUTOSKU-0000004Y,SKU updated,
updated,48559282225417,AUTOSKU-0000004Z,SKU updated,
updated,48559282258185,AUTOSKU-00000050,SKU updated,
updated,48559282290953,AUTOSKU-00000051,SKU updated,
updated,48559282323721,AUTOSKU-00000052,SKU updated,
updated,48559282356489,AUTOSKU-00000053,SKU updated,
updated,48559282389257,AUTOSKU-00000054,SKU updated,
updated,48559282487561,AUTOSKU-00000055,SKU updated,
updated,48559282520329,AUTOSKU-00000056,SKU updated,
updated,48559282553097,AUTOSKU-00000057,SKU updated,
updated,48559282618633,AUTOSKU-00000058,SKU updated,
updated,48559282651401,AUTOSKU-00000059,SKU updated,
updated,48366413447433,a46abdd98030cc7c54,SKU updated,
updated,48366413644041,76db4e1988f014a855,SKU updated,
