Produktnavn,Produkt ID,Variantnavn,Variant ID,SKU,Option1,Option2,Option3,Status,Pris
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,32GB / Som ny / Sølv,48559221932297,b2fb46fe4b1307d2,32GB,Som ny,Sølv,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Brugbar / Space Grey,48559221965065,18e725f26b592a79,128GB,Brugbar,Space Grey,continue,3149.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Brugbar / Guld,48559221997833,7a418d9f04836aac,128GB,Brugbar,Guld,continue,3149.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Brugbar / Sølv,48559222030601,8ea58e80db86ca4e,128GB,Brugbar,Sølv,continue,3149.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Brugt / Space Grey,48559222063369,2c33d631b19f0eef,128GB,Brugt,Space Grey,continue,3349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Brugt / Guld,48559222096137,05b0add4a6397520,128GB,Brugt,Guld,continue,3349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Brugt / Sølv,48559222128905,a961d2125e4345cd,128GB,Brugt,Sølv,continue,3349.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Rigtig god / Space Grey,48559222161673,f77074ac90670854,128GB,Rigtig god,Space Grey,continue,3549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Rigtig god / Guld,48559222194441,d6d57214b6881ada,128GB,Rigtig god,Guld,continue,3549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Rigtig god / Sølv,48559222227209,342046cfbc2c7afb,128GB,Rigtig god,Sølv,continue,3549.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Som ny / Space Grey,48559222259977,aa35cddebfe3fff9,128GB,Som ny,Space Grey,continue,3749.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Som ny / Guld,48559222292745,7be9054be29a6381,128GB,Som ny,Guld,continue,3749.00
"Brugt iPad 10.2"" 8. Gen (2020) Cellular",9318756942089,128GB / Som ny / Sølv,48559222325513,90a7c72c3f5ee8f7,128GB,Som ny,Sølv,continue,3749.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Brugbar / Space Grey,48559220654345,2f21ada9ca8590ef,32GB,Brugbar,Space Grey,continue,1849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Brugbar / Guld,48559220687113,09675f4125ce850c,32GB,Brugbar,Guld,continue,1849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Brugbar / Sølv,48559220719881,98456baa36c8da0c,32GB,Brugbar,Sølv,continue,1849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Brugt / Space Grey,48559220752649,e7626ae56023e551,32GB,Brugt,Space Grey,continue,1949.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Brugt / Guld,48559220785417,ee9fcde834ef5b45,32GB,Brugt,Guld,continue,1949.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Brugt / Sølv,48559220818185,c1da334ff6e321fc,32GB,Brugt,Sølv,continue,1949.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Rigtig god / Space Grey,48559220850953,1f512792a87e21e0,32GB,Rigtig god,Space Grey,continue,2049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Rigtig god / Guld,48559220883721,02b3cc98acb68bbe,32GB,Rigtig god,Guld,continue,2049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Rigtig god / Sølv,48559220916489,0234daf707a4de50,32GB,Rigtig god,Sølv,continue,2049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Som ny / Space Grey,48559220949257,0777aac3a5ec4605,32GB,Som ny,Space Grey,continue,2149.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Som ny / Guld,48559220982025,29cf7100adf9994d,32GB,Som ny,Guld,continue,2149.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,32GB / Som ny / Sølv,48559221014793,0eca09eb6e1ccb59,32GB,Som ny,Sølv,continue,3049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Brugbar / Space Grey,48559221047561,739ee7b6b797435d,128GB,Brugbar,Space Grey,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Brugbar / Guld,48559221080329,824ac96da51b4b57,128GB,Brugbar,Guld,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Brugbar / Sølv,48559221113097,7d0273ef0d14cd32,128GB,Brugbar,Sølv,continue,2449.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Brugt / Space Grey,48559221145865,23b23d9ed3ac43c4,128GB,Brugt,Space Grey,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Brugt / Guld,48559221178633,6509a7e9d3615fde,128GB,Brugt,Guld,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Brugt / Sølv,48559221211401,909e4d525087b220,128GB,Brugt,Sølv,continue,2649.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Rigtig god / Space Grey,48559221244169,33c65277c1430090,128GB,Rigtig god,Space Grey,continue,2849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Rigtig god / Guld,48559221276937,0e8943fe86e30910,128GB,Rigtig god,Guld,continue,2849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Rigtig god / Sølv,48559221309705,bd24077c07c67d23,128GB,Rigtig god,Sølv,continue,2849.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Som ny / Space Grey,48559221342473,a8df71e405686333,128GB,Som ny,Space Grey,continue,3049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Som ny / Guld,48559221375241,b9ccf0fc75dd4b0f,128GB,Som ny,Guld,continue,3049.00
"Brugt iPad 10.2"" 8. Gen (2020) WiFi",9318756843785,128GB / Som ny / Sølv,48559221408009,0eca09eb6e1ccb59,128GB,Som ny,Sølv,continue,3049.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,64GB / Brugbar / Space Grey,48559234482441,2ad6ebebc4f9cf5a,64GB,Brugbar,Space Grey,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,64GB / Brugbar / Sølv,48559234547977,e298abd20ef892eb,64GB,Brugbar,Sølv,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,64GB / Brugt / Space Grey,48559234580745,ca12feaadcc7afb0,64GB,Brugt,Space Grey,continue,2749.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,64GB / Brugt / Sølv,48559234613513,a604d4e634a784d2,64GB,Brugt,Sølv,continue,2749.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,64GB / Rigtig god / Space Grey,48559234646281,ecaba0797289fc70,64GB,Rigtig god,Space Grey,continue,2949.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,64GB / Rigtig god / Sølv,48559234679049,a79ea54cf5d6518f,64GB,Rigtig god,Sølv,continue,2949.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,64GB / Som ny / Space Grey,48559234711817,d173dc6798e67e0c,64GB,Som ny,Space Grey,continue,3149.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,64GB / Som ny / Sølv,48559234777353,8005d3558c315e9f,64GB,Som ny,Sølv,continue,3149.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,256GB / Brugbar / Space Grey,48559234810121,afe75bc40339c805,256GB,Brugbar,Space Grey,continue,3149.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,256GB / Brugbar / Sølv,48559234842889,a5d818833fae8d9f,256GB,Brugbar,Sølv,continue,3149.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,256GB / Brugt / Space Grey,48559234875657,6493bef2f621ac36,256GB,Brugt,Space Grey,continue,3349.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,256GB / Brugt / Sølv,48559234908425,138c8f8e82bac73c,256GB,Brugt,Sølv,continue,3349.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,256GB / Rigtig god / Space Grey,48559234941193,8ec8b3c43b8fe8af,256GB,Rigtig god,Space Grey,continue,3549.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,256GB / Rigtig god / Sølv,48559235006729,a91ecb323fbea560,256GB,Rigtig god,Sølv,continue,3549.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,256GB / Som ny / Space Grey,48559235039497,9974a660364d1804,256GB,Som ny,Space Grey,continue,3749.00
"Brugt iPad 10.2"" 9.Gen (2021) Cellular",9318757990665,256GB / Som ny / Sølv,48559235072265,d056d81328684b1e,256GB,Som ny,Sølv,continue,3749.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,64GB / Brugbar / Space Grey,48559233663241,0cbd5a7da681c3b8,64GB,Brugbar,Space Grey,continue,1949.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,64GB / Brugbar / Sølv,48559233696009,0e69d5a331c4f0f3,64GB,Brugbar,Sølv,continue,1949.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,64GB / Brugt / Space Grey,48559233728777,769b3615fa37ce92,64GB,Brugt,Space Grey,continue,2149.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,64GB / Brugt / Sølv,48559233761545,b9c0e9b6b5da1bb2,64GB,Brugt,Sølv,continue,2149.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,64GB / Rigtig god / Space Grey,48559233794313,d65e7426a48f60a6,64GB,Rigtig god,Space Grey,continue,2349.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,64GB / Rigtig god / Sølv,48559233827081,d108a778c772ae50,64GB,Rigtig god,Sølv,continue,2349.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,64GB / Som ny / Space Grey,48559233859849,aab46d79f2ef03bf,64GB,Som ny,Space Grey,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,64GB / Som ny / Sølv,48559233892617,8f90671c234506b2,64GB,Som ny,Sølv,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,256GB / Brugbar / Space Grey,48559233925385,bf17b927b5002101,256GB,Brugbar,Space Grey,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,256GB / Brugbar / Sølv,48559233958153,edb9db2f8acccd71,256GB,Brugbar,Sølv,continue,2549.00
"Brugt iPad 10.2"" 9.Gen (2021) WiFi",9318757892361,256GB / Brugt / Space Grey,48559233990921,d0169edf21e7119d,256GB,Brugt,Space Grey,continue,2749.00
