status,variant_id,sku,message,error
updated,55025147052407,AUTOSKU-0000005R,SKU updated,
updated,55025147085175,AUTOSKU-0000005S,SKU updated,
updated,55025147117943,AUTOSKU-0000005T,SKU updated,
updated,55025182376311,AUTOSKU-0000005U,SKU updated,
updated,55025182409079,AUTOSKU-0000005V,SKU updated,
updated,55025182441847,AUTOSKU-0000005W,SKU updated,
updated,55025182474615,AUTOSKU-0000005X,SKU updated,
updated,55025182507383,AUTOSKU-0000005Y,SKU updated,
updated,55025182540151,AUTOSKU-0000005Z,SKU updated,
updated,55025182572919,AUTOSKU-00000060,SKU updated,
updated,55025182605687,AUTOSKU-00000061,SKU updated,
updated,55025182638455,AUTOSKU-00000062,SKU updated,
updated,55025182671223,AUTOSKU-00000063,SKU updated,
updated,55025182703991,AUTOSKU-00000064,SKU updated,
updated,55025182736759,AUTOSKU-00000065,SKU updated,
updated,55025182769527,AUTOSKU-00000066,SKU updated,
updated,55025182802295,AUTOSKU-00000067,SKU updated,
updated,55025182835063,AUTOSKU-00000068,SKU updated,
updated,55025182867831,AUTOSKU-00000069,SKU updated,
updated,55025182900599,AUTOSKU-0000006A,SKU updated,
updated,55025182933367,AUTOSKU-0000006B,SKU updated,
updated,55025182966135,AUTOSKU-0000006C,SKU updated,
updated,55025182998903,AUTOSKU-0000006D,SKU updated,
updated,55025308336503,AUTOSKU-0000006E,SKU updated,
updated,55025308369271,AUTOSKU-0000006F,SKU updated,
updated,55025308402039,AUTOSKU-0000006G,SKU updated,
updated,55025308434807,AUTOSKU-0000006H,SKU updated,
updated,55025308467575,AUTOSKU-0000006I,SKU updated,
updated,55025308500343,AUTOSKU-0000006J,SKU updated,
updated,55025308533111,AUTOSKU-0000006K,SKU updated,
updated,55025308565879,AUTOSKU-0000006L,SKU updated,
updated,55025308598647,AUTOSKU-0000006M,SKU updated,
updated,55025308631415,AUTOSKU-0000006N,SKU updated,
updated,55025308664183,AUTOSKU-0000006O,SKU updated,
updated,55025308696951,AUTOSKU-0000006P,SKU updated,
updated,55025308729719,AUTOSKU-0000006Q,SKU updated,
updated,55025308762487,AUTOSKU-0000006R,SKU updated,
updated,55025308795255,AUTOSKU-0000006S,SKU updated,
updated,55025308828023,AUTOSKU-0000006T,SKU updated,
updated,55025318625655,AUTOSKU-0000006U,SKU updated,
updated,55025318658423,AUTOSKU-0000006V,SKU updated,
updated,55025318691191,AUTOSKU-0000006W,SKU updated,
updated,55025318723959,AUTOSKU-0000006X,SKU updated,
updated,55025318756727,AUTOSKU-0000006Y,SKU updated,
updated,55025318789495,AUTOSKU-0000006Z,SKU updated,
updated,55025318822263,AUTOSKU-00000070,SKU updated,
updated,55025318855031,AUTOSKU-00000071,SKU updated,
updated,55025318887799,AUTOSKU-00000072,SKU updated,
updated,55025318920567,AUTOSKU-00000073,SKU updated,
updated,55025318953335,AUTOSKU-00000074,SKU updated,
updated,55025318986103,AUTOSKU-00000075,SKU updated,
updated,55025319018871,AUTOSKU-00000076,SKU updated,
updated,55025319051639,AUTOSKU-00000077,SKU updated,
updated,55025319084407,AUTOSKU-00000078,SKU updated,
updated,55025319117175,AUTOSKU-00000079,SKU updated,
updated,55027198394743,AUTOSKU-0000007A,SKU updated,
updated,55027198427511,AUTOSKU-0000007B,SKU updated,
updated,55027198460279,AUTOSKU-0000007C,SKU updated,
updated,55027198591351,AUTOSKU-0000007D,SKU updated,
updated,55027198624119,AUTOSKU-0000007E,SKU updated,
updated,55027198656887,AUTOSKU-0000007F,SKU updated,
updated,55027198787959,AUTOSKU-0000007G,SKU updated,
updated,55027198820727,AUTOSKU-0000007H,SKU updated,
updated,55027198853495,AUTOSKU-0000007I,SKU updated,
updated,55027198984567,AUTOSKU-0000007J,SKU updated,
updated,55027199017335,AUTOSKU-0000007K,SKU updated,
updated,55027199050103,AUTOSKU-0000007L,SKU updated,
updated,55027212714359,AUTOSKU-0000007M,SKU updated,
updated,55027212747127,AUTOSKU-0000007N,SKU updated,
updated,55027212779895,AUTOSKU-0000007O,SKU updated,
updated,55027181683063,AUTOSKU-0000007P,SKU updated,
updated,55027181715831,AUTOSKU-0000007Q,SKU updated,
updated,55241654567287,AUTOSKU-0000007R,SKU updated,
updated,55241654600055,AUTOSKU-0000007S,SKU updated,
updated,55027181879671,AUTOSKU-0000007T,SKU updated,
updated,55027181912439,AUTOSKU-0000007U,SKU updated,
updated,55241654632823,AUTOSKU-0000007V,SKU updated,
updated,55241654665591,AUTOSKU-0000007W,SKU updated,
updated,55027182076279,AUTOSKU-0000007X,SKU updated,
updated,55027182109047,AUTOSKU-0000007Y,SKU updated,
updated,55241654698359,AUTOSKU-0000007Z,SKU updated,
updated,55241654731127,AUTOSKU-00000080,SKU updated,
updated,55027182272887,AUTOSKU-00000081,SKU updated,
updated,55027182305655,AUTOSKU-00000082,SKU updated,
updated,55241654763895,AUTOSKU-00000083,SKU updated,
updated,55241654796663,AUTOSKU-00000084,SKU updated,
updated,55027158909303,AUTOSKU-00000085,SKU updated,
updated,55027158942071,AUTOSKU-00000086,SKU updated,
updated,55027158974839,AUTOSKU-00000087,SKU updated,
updated,55027159105911,AUTOSKU-00000088,SKU updated,
updated,55027159138679,AUTOSKU-00000089,SKU updated,
updated,55027159171447,AUTOSKU-0000008A,SKU updated,
updated,55027159302519,AUTOSKU-0000008B,SKU updated,
updated,55027159335287,AUTOSKU-0000008C,SKU updated,
updated,55027159368055,AUTOSKU-0000008D,SKU updated,
updated,55027159499127,AUTOSKU-0000008E,SKU updated,
updated,55027159531895,AUTOSKU-0000008F,SKU updated,
updated,55027159564663,AUTOSKU-0000008G,SKU updated,
updated,55086557167991,AUTOSKU-0000008H,SKU updated,
updated,55086557069687,AUTOSKU-0000008I,SKU updated,
updated,55086556971383,AUTOSKU-0000008J,SKU updated,
updated,55086556873079,AUTOSKU-0000008K,SKU updated,
updated,55086557561207,AUTOSKU-0000008L,SKU updated,
updated,55086557462903,AUTOSKU-0000008M,SKU updated,
updated,55086557364599,AUTOSKU-0000008N,SKU updated,
updated,55086557266295,AUTOSKU-0000008O,SKU updated,
updated,55086565392759,AUTOSKU-0000008P,SKU updated,
updated,55086565294455,AUTOSKU-0000008Q,SKU updated,
updated,55086565196151,AUTOSKU-0000008R,SKU updated,
updated,55086565097847,AUTOSKU-0000008S,SKU updated,
updated,55086592917879,AUTOSKU-0000008T,SKU updated,
updated,55086592885111,AUTOSKU-0000008U,SKU updated,
updated,55086592852343,AUTOSKU-0000008V,SKU updated,
updated,55086592819575,AUTOSKU-0000008W,SKU updated,
updated,55086593048951,AUTOSKU-0000008X,SKU updated,
updated,55086593016183,AUTOSKU-0000008Y,SKU updated,
updated,55086592983415,AUTOSKU-0000008Z,SKU updated,
updated,55086592950647,AUTOSKU-00000090,SKU updated,
updated,55086593180023,AUTOSKU-00000091,SKU updated,
updated,55086593147255,AUTOSKU-00000092,SKU updated,
updated,55086593114487,AUTOSKU-00000093,SKU updated,
updated,55086593081719,AUTOSKU-00000094,SKU updated,
updated,55086597472631,AUTOSKU-00000095,SKU updated,
updated,55086597439863,AUTOSKU-00000096,SKU updated,
updated,55086597407095,AUTOSKU-00000097,SKU updated,
updated,55086597374327,AUTOSKU-00000098,SKU updated,
updated,55105451884919,AUTOSKU-00000099,SKU updated,
updated,55105460928887,AUTOSKU-0000009A,SKU updated,
updated,55105451852151,AUTOSKU-0000009B,SKU updated,
updated,55105460896119,AUTOSKU-0000009C,SKU updated,
updated,55105451819383,AUTOSKU-0000009D,SKU updated,
updated,55105460863351,AUTOSKU-0000009E,SKU updated,
updated,55105451786615,AUTOSKU-0000009F,SKU updated,
updated,55105460830583,AUTOSKU-0000009G,SKU updated,
updated,55105452015991,AUTOSKU-0000009H,SKU updated,
updated,55105461059959,AUTOSKU-0000009I,SKU updated,
updated,55105451983223,AUTOSKU-0000009J,SKU updated,
updated,55105461027191,AUTOSKU-0000009K,SKU updated,
updated,55105451950455,AUTOSKU-0000009L,SKU updated,
updated,55105460994423,AUTOSKU-0000009M,SKU updated,
updated,55105451917687,AUTOSKU-0000009N,SKU updated,
updated,55105460961655,AUTOSKU-0000009O,SKU updated,
updated,55105452147063,AUTOSKU-0000009P,SKU updated,
updated,55105461191031,AUTOSKU-0000009Q,SKU updated,
updated,55105452114295,AUTOSKU-0000009R,SKU updated,
updated,55105461158263,AUTOSKU-0000009S,SKU updated,
updated,55105452081527,AUTOSKU-0000009T,SKU updated,
updated,55105461125495,AUTOSKU-0000009U,SKU updated,
updated,55105452048759,AUTOSKU-0000009V,SKU updated,
updated,55105461092727,AUTOSKU-0000009W,SKU updated,
updated,55086601503095,AUTOSKU-0000009X,SKU updated,
updated,55086601470327,AUTOSKU-0000009Y,SKU updated,
updated,55086601437559,AUTOSKU-0000009Z,SKU updated,
updated,55086601404791,AUTOSKU-000000A0,SKU updated,
updated,55086601634167,AUTOSKU-000000A1,SKU updated,
updated,55086601601399,AUTOSKU-000000A2,SKU updated,
updated,55086601568631,AUTOSKU-000000A3,SKU updated,
updated,55086601535863,AUTOSKU-000000A4,SKU updated,
updated,55086601765239,AUTOSKU-000000A5,SKU updated,
updated,55086601732471,AUTOSKU-000000A6,SKU updated,
updated,55086601699703,AUTOSKU-000000A7,SKU updated,
updated,55086601666935,AUTOSKU-000000A8,SKU updated,
updated,55086601896311,AUTOSKU-000000A9,SKU updated,
updated,55086601863543,AUTOSKU-000000AA,SKU updated,
updated,55086601830775,AUTOSKU-000000AB,SKU updated,
updated,55086601798007,AUTOSKU-000000AC,SKU updated,
updated,55105463484791,AUTOSKU-000000AD,SKU updated,
updated,55105463517559,AUTOSKU-000000AE,SKU updated,
updated,55105463419255,AUTOSKU-000000AF,SKU updated,
updated,55105463452023,AUTOSKU-000000AG,SKU updated,
updated,55105463353719,AUTOSKU-000000AH,SKU updated,
